Fecha, Hora,Sistema, Area, Pronostico (MWh),,,
02/01/2020,10,SIN,CEN,6256.764,,,
02/01/2020,11,SIN,CEN,6496.795,,,
02/01/2020,12,SIN,CEN,6558.39,,,
02/01/2020,13,SIN,CEN,6653.619,,,
02/01/2020,14,SIN,CEN,6685.018,,,
02/01/2020,15,SIN,CEN,6665.611,,,
02/01/2020,16,SIN,CEN,6712.169,,,
02/01/2020,17,SIN,CEN,6789.37,,,
02/01/2020,18,SIN,CEN,6830.472,,,
02/01/2020,19,SIN,CEN,7223.46,,,
02/01/2020,20,SIN,CEN,7435.18,,,
02/01/2020,21,SIN,CEN,7369.124,,,
02/01/2020,22,SIN,CEN,7072.994,,,
02/01/2020,23,SIN,CEN,6716.878,,,
02/01/2020,24,SIN,CEN,6413.393,,,
02/01/2020,1,SIN,NES,4036.894,,,
02/01/2020,2,SIN,NES,3898.369,,,
02/01/2020,3,SIN,NES,3818.402,,,
02/01/2020,4,SIN,NES,3804.029,,,
02/01/2020,5,SIN,NES,3846.967,,,
02/01/2020,6,SIN,NES,3970.204,,,
02/01/2020,7,SIN,NES,4214.788,,,
02/01/2020,8,SIN,NES,4514.642,,,
02/01/2020,9,SIN,NES,4685.93,,,
02/01/2020,10,SIN,NES,4891.909,,,
02/01/2020,11,SIN,NES,5005.003,,,
02/01/2020,12,SIN,NES,5093.433,,,
02/01/2020,13,SIN,NES,5136.433,,,
02/01/2020,14,SIN,NES,5137.618,,,
02/01/2020,15,SIN,NES,5122.266,,,
02/01/2020,16,SIN,NES,5113.631,,,
02/01/2020,17,SIN,NES,5131.546,,,
02/01/2020,18,SIN,NES,5115.972,,,
02/01/2020,19,SIN,NES,5177.82,,,
02/01/2020,20,SIN,NES,5246.467,,,
02/01/2020,21,SIN,NES,5235.96,,,
02/01/2020,22,SIN,NES,5150.058,,,
02/01/2020,23,SIN,NES,5051.462,,,
02/01/2020,24,SIN,NES,4944.864,,,
02/01/2020,1,SIN,NOR,1716.289,,,
02/01/2020,2,SIN,NOR,1644.933,,,
02/01/2020,3,SIN,NOR,1608.553,,,
02/01/2020,4,SIN,NOR,1582.738,,,
02/01/2020,5,SIN,NOR,1583.662,,,
02/01/2020,6,SIN,NOR,1612.943,,,
02/01/2020,7,SIN,NOR,1667.972,,,
02/01/2020,8,SIN,NOR,1726.787,,,
02/01/2020,9,SIN,NOR,1796.253,,,
02/01/2020,10,SIN,NOR,1864.172,,,
02/01/2020,11,SIN,NOR,1950.198,,,
